hour,temperature,rain,wind_speed,humidity
0,25.62857142857143,0.0,4.485714285714286,90.85714285714286
1,25.457142857142856,0.0,4.914285714285714,91.57142857142857
2,25.285714285714285,0.0,5.042857142857143,91.71428571428571
3,25.157142857142855,0.0,5.042857142857143,92.28571428571429
4,25.099999999999998,0.0,5.042857142857143,92.14285714285714
5,25.17142857142857,0.0,5.257142857142857,91.85714285714286
6,25.442857142857143,0.0,5.571428571428571,91.42857142857143
7,26.24285714285714,0.0,6.142857142857143,88.57142857142857
8,27.47142857142857,0.0,6.142857142857143,83.85714285714286
9,28.82857142857143,0.0,5.728571428571429,77.85714285714286
10,30.042857142857144,0.0,5.485714285714286,72.28571428571429
11,30.957142857142856,0.0,5.514285714285714,67.71428571428571
12,31.62857142857143,0.0,6.128571428571428,64.85714285714286
13,31.728571428571428,0.0,6.528571428571429,64.57142857142857
14,31.157142857142855,0.0,6.457142857142857,69.14285714285714
15,30.25714285714286,0.0,6.728571428571429,74.57142857142857
16,29.37142857142857,0.0,7.257142857142857,77.85714285714286
17,28.400000000000002,0.0,6.428571428571429,81.71428571428571
18,27.442857142857143,0.0,6.642857142857143,85.42857142857143
19,26.714285714285715,0.0,7.114285714285714,88.14285714285714
20,26.357142857142858,0.028571428571428574,6.028571428571429,89.0
21,26.185714285714287,0.05714285714285715,4.457142857142857,88.57142857142857
22,26.071428571428573,0.014285714285714287,3.9,88.57142857142857
23,25.900000000000002,0.0,4.1571428571428575,89.14285714285714
